Sprite Capture Summary
======================
Frame: 95
OBSEL: $00 (base=0, select=0, size=0, oam_base=0, oam_offset=4096)
VRAM read mode: word
Visible sprites: 88

OAM #0: pos=(121,62) tile=$D6 size=8x8 pal=3
OAM #79: pos=(4,194) tile=$FA size=8x8 pal=3
OAM #80: pos=(29,203) tile=$D4 size=8x8 pal=5
OAM #83: pos=(78,89) tile=$2C size=16x16 pal=5
OAM #84: pos=(142,99) tile=$4C size=8x8 pal=7
OAM #85: pos=(242,69) tile=$49 size=8x8 pal=2
OAM #86: pos=(27,252) tile=$B1 size=16x16 pal=6
OAM #87: pos=(180,128) tile=$C0 size=8x8 pal=2
OAM #88: pos=(-10,38) tile=$CC size=8x8 pal=2
OAM #89: pos=(-47,155) tile=$A5 size=16x16 pal=1
OAM #90: pos=(5,199) tile=$2A size=16x16 pal=7
OAM #91: pos=(64,193) tile=$54 size=8x8 pal=6
OAM #93: pos=(121,25) tile=$F0 size=8x8 pal=3
OAM #95: pos=(176,15) tile=$57 size=8x8 pal=6
OAM #97: pos=(95,214) tile=$B8 size=16x16 pal=3
OAM #99: pos=(227,129) tile=$EF size=16x16 pal=3
OAM #100: pos=(29,127) tile=$44 size=8x8 pal=4
OAM #101: pos=(180,127) tile=$42 size=16x16 pal=5
OAM #102: pos=(185,189) tile=$72 size=16x16 pal=7
OAM #104: pos=(-32,103) tile=$5C size=16x16 pal=6
OAM #105: pos=(-17,183) tile=$CE size=8x8 pal=3
OAM #106: pos=(77,194) tile=$D1 size=8x8 pal=1
OAM #107: pos=(176,31) tile=$63 size=8x8 pal=4
OAM #108: pos=(-5,58) tile=$F0 size=16x16 pal=2
OAM #109: pos=(-35,251) tile=$1A size=16x16 pal=5
OAM #110: pos=(-37,200) tile=$B7 size=8x8 pal=5
OAM #112: pos=(21,243) tile=$D9 size=16x16 pal=7
OAM #113: pos=(214,207) tile=$D4 size=8x8 pal=6
OAM #114: pos=(57,71) tile=$D8 size=8x8 pal=6
OAM #115: pos=(100,46) tile=$C6 size=16x16 pal=3
OAM #116: pos=(205,149) tile=$55 size=8x8 pal=1
OAM #117: pos=(165,195) tile=$CB size=8x8 pal=0
OAM #119: pos=(214,25) tile=$73 size=16x16 pal=4
OAM #120: pos=(49,167) tile=$57 size=8x8 pal=1
OAM #122: pos=(31,113) tile=$55 size=8x8 pal=2
OAM #123: pos=(-49,246) tile=$E6 size=8x8 pal=0
OAM #124: pos=(198,49) tile=$7A size=16x16 pal=6
OAM #126: pos=(39,126) tile=$7A size=16x16 pal=0
